start_date,end_date,self_perceived_masculinity,importance_of_being_seen_as_masculine,source_of_masculinity_father_figure,source_of_masculinity_mother_figure,source_of_masculinity_family_members,source_of_masculinity_pop_culture,source_of_masculinity_friends,source_of_masculinity_other,societal_pressure_on_men,lifestyle_ask_friend_professional_advice,lifestyle_ask_friend_personal_advice,lifestyle_show_affection_to_male_friends,lifestyle_crying,lifestyle_physical_fight,lifestyle_sexual_relations_with_women,lifestyle_sexual_relations_with_men,lifestyle_watch_sports,lifestyle_work_out,lifestyle_see_therapist,lifestyle_feel_lonely_or_isolated,daily_worry_height,daily_worry_weight,daily_worry_hair,daily_worry_physique,daily_worry_genitalia,daily_worry_clothing_style,daily_worry_sexual_performance,daily_worry_mental_health,daily_worry_physical_health,daily_worry_finances,daily_worry_provide_for_family,daily_worry_none,employment_status,advantage_of_being_a_man_more_money,advantage_of_being_a_man_taken_more_seriously,advantage_of_being_a_man_more_choice,advantage_of_being_a_man_more_promotion_opportunities,advantage_of_being_a_man_praised_more,advantage_of_being_a_man_more_manager_support,advantage_of_being_a_man_other,advantage_of_being_a_man_none,disadvantage_of_being_a_man_hiring_promoting_women,disadvantage_of_being_a_man_risk_accusation_harassment,disadvantage_of_being_a_man_risk_accusation_bias,disadvantage_of_being_a_man_other,disadvantage_of_being_a_man_none,response_to_harassment_confronted_accused,response_to_harassment_contacted_hr,response_to_harassment_contacted_manager,response_to_harassment_supported_victim,response_to_harassment_did_nothing,response_to_harassment_never_witnessed,response_to_harassment_other,reason_for_no_response,heard_about_metoo,behavior_changed_at_work_due_to_metoo,expected_to_make_first_move,how_often_pay_on_date,reason_for_paying_on_date_right_thing,reason_for_paying_on_date_earn_more,reason_for_paying_on_date_feel_good,reason_for_paying_on_date_societal_expectations,reason_for_paying_on_date_obligation_for_asking_out,reason_for_paying_on_date_test_response,reason_for_paying_on_date_other,gauge_interest_by_body_language,gauge_interest_by_verbal_consent,gauge_interest_by_physical_move,gauge_interest_situation_different,gauge_interest_unclear,gauge_interest_other,boundary_wondered_if_pushed_too_far,boundary_discussed_with_friends,boundary_contacted_past_partner,boundary_none_above,changed_behavior_in_relationships_due_to_metoo,marital_status,has_children_under_18,has_children_over_18,no_children,sexual_orientation,race,education_level,state,income_bracket,us_region,device_and_os_usage,race_classification,race_and_ethnicity_detailed,education_level_grouped,education_level_detailed,age_group,has_kids,sexual_orientation_label,response_weight,total_worries
5/11/18 3:07,5/11/18 3:16,Very masculine,Somewhat important,1,1,1,1,1,1,No,Sometimes,Rarely,Rarely,Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Rarely,Rarely,Rarely,"Never, but open to it",0,1,0,1,1,0,1,1,1,1,1,0,"Employed, working full-time",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,You weren?t sure it was sexual harassment,Some,No,Yes,Always,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,No,Married,"Yes, one or more children under 18","Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Michigan,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,Has children,Straight,0.500712903,8
5/11/18 5:18,5/11/18 5:33,Somewhat masculine,Not too important,1,0,0,0,0,0,Yes,"Never, but open to it",Sometimes,Often,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,Sometimes,Sometimes,0,0,0,0,0,0,0,1,1,1,1,0,"Not employed, NOT looking for work",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,Often,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,No,Married,Not selected,Not selected,No children,Straight,White,Some college,South Carolina,"$25,000-$49,999",South Atlantic,Other,White,White,Some college,Some college,35 - 64,No children,Straight,0.617906017,4
5/11/18 5:50,5/11/18 5:53,Very masculine,Somewhat important,1,0,1,0,0,0,No,Sometimes,Sometimes,"Never, but open to it","Never, but open to it","Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,0,1,0,0,0,0,0,0,0,0,0,0,"Not employed, NOT looking for work",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,No,Sometimes,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,Florida,"$125,000-$149,999",South Atlantic,MacOS Desktop / Laptop,White,White,College or more,College or more,35 - 64,No children,Straight,0.545344405,1
5/11/18 5:51,5/11/18 6:21,Very masculine,Very important,0,0,0,0,1,1,Yes,Often,Sometimes,Sometimes,Rarely,"Never, and not open to it","Never, but open to it","Never, and not open to it",Often,Often,Rarely,Sometimes,0,0,0,0,0,0,0,0,0,1,0,0,"Employed, working full-time",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,Nothing at all,,Yes,Always,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,Yes,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,Black,Some college,California,"$10,000-$24,999",,Android Phone / Tablet,Non-white,Black,Some college,Some college,18 - 34,Has children,Straight,3.398346389,1
5/11/18 6:26,5/11/18 6:30,Not at all masculine,Not at all important,1,0,0,1,0,0,Yes,"Never, but open to it",Sometimes,Sometimes,Often,"Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it","Never, and not open to it",Often,Often,0,0,1,1,1,0,0,1,1,0,0,0,"Not employed, student",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,No,Never,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,No,Never married,Not selected,Not selected,No children,Straight,White,High school or G.E.D.,Massachusetts,Prefer not to answer,New England,MacOS Desktop / Laptop,White,White,High school or less,High school or less,18 - 34,No children,Straight,8.643673599,5
5/11/18 8:17,5/11/18 8:23,Somewhat masculine,Somewhat important,1,0,0,0,0,0,No,"Never, but open to it",Rarely,Sometimes,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Often,"Never, but open to it",Rarely,0,1,0,0,0,0,0,0,1,1,0,0,"Not employed, NOT looking for work",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,No answer,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,West Virginia,Prefer not to answer,South Atlantic,MacOS Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.058149837,3
5/11/18 8:45,5/11/18 8:51,Somewhat masculine,Not too important,1,0,0,1,0,0,Yes,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,"Never, but open to it",Rarely,Sometimes,Often,Often,0,1,0,1,0,0,0,1,1,1,1,0,"Employed, working full-time",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,,Some,No,Yes,Sometimes,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Bisexual,White,Post graduate degree,Minnesota,"$50,000-$74,999",West North Central,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,35 - 64,Has children,Gay/Bisexual,0.105632571,6
5/11/18 8:52,5/11/18 9:03,Somewhat masculine,Not too important,1,0,1,1,0,0,Yes,"Never, but open to it",Rarely,Rarely,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Often,"Never, but open to it","Never, but open to it",Sometimes,0,0,0,0,0,0,1,0,1,1,0,0,"Employed, working full-time",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,A lot,No,No,Often,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,Kansas,"$100,000-$124,999",West North Central,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,No children,Straight,0.716907351,3
5/11/18 9:32,5/11/18 9:45,Very masculine,Somewhat important,0,1,0,0,0,0,No,Sometimes,Sometimes,"Never, but open to it",No answer,"Never, and not open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, but open to it","Never, but open to it",0,0,0,0,0,0,0,0,0,0,0,1,"Employed, working part-time",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,,Some,No,No,Often,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,No,Widowed,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Florida,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421,1
5/11/18 10:11,5/11/18 10:16,Somewhat masculine,Somewhat important,1,0,0,0,0,0,No,"Never, but open to it","Never, but open to it","Never, and not open to it",Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Often,Often,"Never, and not open to it","Never, and not open to it",0,0,0,0,0,0,0,0,1,1,0,0,"Not employed, looking for work",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,Always,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,No,Never married,Not selected,Not selected,No children,Straight,Black,High school or G.E.D.,California,"$10,000-$24,999",Pacific,Windows Desktop / Laptop,Non-white,Black,High school or less,High school or less,35 - 64,No children,Straight,2.632241555,2
5/11/18 10:15,5/11/18 10:19,Not very masculine,Somewhat important,1,1,1,1,1,0,No,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,"Never, and not open to it",Often,"Never, but open to it","Never, and not open to it",Rarely,0,1,0,0,0,0,1,1,1,0,0,0,Not employed-retired,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,Sometimes,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,No,Divorced,Not selected,Not selected,No children,Straight,Black,Some college,Oregon,"$10,000-$24,999",Pacific,Other,Non-white,Black,Some college,Some college,65 and up,No children,Straight,0.869991096,4
5/11/18 10:45,5/11/18 10:50,Somewhat masculine,Somewhat important,0,0,1,0,1,0,Yes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,"Never, and not open to it","Never, and not open to it",Often,Often,Rarely,Rarely,0,1,0,1,0,0,0,0,1,1,1,0,"Employed, working full-time",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,You weren?t sure it was sexual harassment,A lot,No,Yes,Often,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,Post graduate degree,Utah,Prefer not to answer,Mountain,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.019744451,5
5/11/18 10:56,5/11/18 11:00,Somewhat masculine,Not too important,1,0,0,0,0,0,No,Sometimes,Sometimes,"Never, but open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Sometimes,0,1,0,1,0,0,0,0,1,0,1,0,"Employed, working full-time",1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,Some,Yes,Yes,Sometimes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Kansas,"$125,000-$149,999",West North Central,MacOS Desktop / Laptop,White,White,College or more,College or more,35 - 64,Has children,Straight,0.695610733,4
5/11/18 12:36,5/11/18 12:42,Very masculine,Somewhat important,1,0,0,0,0,0,No,Often,Often,Sometimes,Often,Rarely,Often,"Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",Sometimes,0,0,0,0,0,0,0,0,0,1,1,0,"Employed, working full-time",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,,A lot,Yes,No,Sometimes,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Texas,"$25,000-$49,999",West South Central,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515567485,2
5/11/18 1:09,5/11/18 1:16,Very masculine,Not too important,1,0,0,0,0,0,No,Sometimes,Sometimes,Sometimes,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,Sometimes,"Never, but open to it",Sometimes,0,0,0,0,0,0,0,0,0,0,0,1,Not employed-retired,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,No,Often,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,No,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Michigan,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.059086641,1
5/11/18 1:18,5/11/18 1:27,Somewhat masculine,Not too important,0,1,1,0,1,0,Yes,"Never, but open to it","Never, but open to it","Never, and not open to it",Sometimes,"Never, and not open to it",No answer,"Never, and not open to it",Sometimes,Rarely,"Never, and not open to it",Sometimes,0,1,0,1,0,0,0,0,1,0,0,0,"Employed, working full-time",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,A lot,Yes,Yes,Always,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,New Jersey,"$200,000+",Middle Atlantic,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.06942877,3
5/11/18 1:20,5/11/18 1:25,Not very masculine,Somewhat important,0,0,1,0,0,1,Yes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,"Never, and not open to it",Often,Often,"Never, but open to it",Rarely,0,1,0,1,1,0,1,1,1,1,1,0,Not employed-retired,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,Always,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Texas,"$25,000-$49,999",West South Central,Windows Desktop / Laptop,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451,8
5/11/18 1:48,5/11/18 1:53,Not at all masculine,Not at all important,0,0,1,0,1,0,Yes,Sometimes,Often,Sometimes,Sometimes,"Never, and not open to it","Never, and not open to it","Never, and not open to it",Sometimes,Often,Sometimes,Sometimes,0,0,0,0,0,0,0,0,0,1,0,0,"Not employed, NOT looking for work",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,No,Never,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,No,Widowed,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Some college,Texas,"$10,000-$24,999",West South Central,Windows Desktop / Laptop,White,White,Some college,Some college,65 and up,Has children,Straight,0.600430108,1
5/11/18 2:22,5/11/18 2:28,Very masculine,Somewhat important,0,0,0,0,1,1,Yes,Rarely,Rarely,Rarely,Rarely,"Never, but open to it",Often,"Never, and not open to it",Rarely,Often,"Never, and not open to it",Sometimes,0,1,0,0,0,0,0,0,0,0,0,0,Not employed-retired,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,Always,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,New York,"$150,000-$174,999",Middle Atlantic,MacOS Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279,1
5/11/18 2:29,5/11/18 2:33,Not very masculine,Somewhat important,1,1,0,0,0,0,No,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,Often,"Never, and not open to it",Sometimes,0,1,1,1,1,0,1,0,0,0,0,0,Not employed-retired,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,Often,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,No,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Utah,"$100,000-$124,999",Mountain,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451,5
5/11/18 2:37,5/11/18 2:42,Somewhat masculine,Somewhat important,1,0,0,0,1,0,No,"Never, but open to it",Rarely,Rarely,Rarely,Rarely,Often,"Never, and not open to it",Often,Rarely,"Never, and not open to it","Never, and not open to it",0,0,0,0,0,0,0,0,0,0,0,1,"Employed, working full-time",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,Some,No,Yes,Always,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,No,Married,"Yes, one or more children under 18","Yes, one or more children 18 or older",Not selected,Straight,White,Some college,Texas,"$75,000-$99,999",West South Central,Windows Desktop / Laptop,White,White,Some college,Some college,35 - 64,Has children,Straight,0.620528742,1
5/11/18 2:39,5/11/18 2:47,Somewhat masculine,Somewhat important,0,0,0,0,1,0,Yes,Often,Rarely,Often,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,Often,"Never, and not open to it",Sometimes,0,1,0,0,0,0,1,0,0,0,0,0,"Not employed, looking for work",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,Sometimes,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,Yes,Never married,Not selected,Not selected,No children,Straight,Other,High school or G.E.D.,Pennsylvania,"$0-$9,999",Middle Atlantic,Android Phone / Tablet,Non-white,Other,High school or less,High school or less,18 - 34,No children,Straight,5.928646721,2
5/11/18 2:49,5/11/18 2:58,Not very masculine,Not too important,1,0,0,0,0,0,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it",Sometimes,0,0,0,0,0,0,0,0,0,1,0,0,Not employed-retired,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,Yes,Always,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,No,Never married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Did not complete high school,California,Prefer not to answer,Pacific,Android Phone / Tablet,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.05030667,1
